26.5 km,61,42,E02000228,Croydon 035,-0.08462,51.34045
26.7 km,57,41,E02000227,Croydon 034,-0.03662,51.346
22.2 km,55,40,E02000226,Croydon 033,-0.06672,51.35057
27.0 km,61,39,E02000225,Croydon 032,-0.01345,51.34784
21.9 km,44,38,E02000224,Croydon 031,-0.09938,51.34909
27.2 km,66,37,E02000223,Croydon 030,-0.02045,51.35408
20.6 km,51,36,E02000222,Croydon 029,-0.08611,51.35807
21.5 km,60,35,E02000221,Croydon 028,-0.11247,51.3589
19.3 km,39,34,E02000220,Croydon 027,-0.09605,51.36866
23.0 km,53,33,E02000219,Croydon 026,-0.0471,51.36524
24.1 km,59,32,E02000218,Croydon 025,-0.03048,51.37124
20.3 km,45,31,E02000217,Croydon 024,-0.11073,51.37248
19.9 km,48,30,E02000216,Croydon 023,-0.07765,51.36949
19.4 km,41,29,E02000215,Croydon 022,-0.08366,51.37874
20.9 km,47,28,E02000214,Croydon 021,-0.06589,51.37957
