fclass,name,id,address,city,region,postcode
service,,104,"Unit 13, Glasgow Central Station, Gordon Street, Glasgow, G1 3SX, Scotland",Glasgow,Scotland,G1 3SX
service,North Court Lane,257,"20 Royal Exchange Square, Glasgow, G1 3AB, Scotland",Glasgow,Scotland,G1 3AB
service,North Court,257,"20 Royal Exchange Square, Glasgow, G1 3AB, Scotland",Glasgow,Scotland,G1 3AB
footway,,257,"20 Royal Exchange Square, Glasgow, G1 3AB, Scotland",Glasgow,Scotland,G1 3AB
steps,,826,"24 High Street, South Queensferry, EH30 9PP, Scotland",South Queensferry,Scotland,EH30 9PP
footway,,826,"24 High Street, South Queensferry, EH30 9PP, Scotland",South Queensferry,Scotland,EH30 9PP
footway,West Terrace,826,"24 High Street, South Queensferry, EH30 9PP, Scotland",South Queensferry,Scotland,EH30 9PP
steps,,826,"24 High Street, South Queensferry, EH30 9PP, Scotland",South Queensferry,Scotland,EH30 9PP
footway,,894,"43 St. Andrew Square, Edinburgh, EH2 2AD, Scotland",Edinburgh,Scotland,EH2 2AD
footway,,894,"43 St. Andrew Square, Edinburgh, EH2 2AD, Scotland",Edinburgh,Scotland,EH2 2AD
footway,,894,"43 St. Andrew Square, Edinburgh, EH2 2AD, Scotland",Edinburgh,Scotland,EH2 2AD
service,,332,"13-14 Multrees Walk, Edinburgh, EH1 3DQ, Scotland",Edinburgh,Scotland,EH1 3DQ
unclassified,Elder Street,332,"13-14 Multrees Walk, Edinburgh, EH1 3DQ, Scotland",Edinburgh,Scotland,EH1 3DQ
pedestrian,The Green,636,"121 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH
steps,Back Wynd Stairs,361,"131 Union Street, Aberdeen, AB11 6BH, Scotland",Aberdeen,Scotland,AB11 6BH
unclassified,Argyle Street,259,"203-205 Argyle Street, Glasgow, G2 8BU, Scotland",Glasgow,Scotland,G2 8BU
unclassified,Argyle Street,563,"St. Enoch Centre, 87-91 Argyle Street, Glasgow, G2 8BJ, Scotland",Glasgow,Scotland,G2 8BJ
unclassified,Argyle Street,260,"Unit 1, 92-96 Argyle Street, Glasgow, G2 8BQ, Scotland",Glasgow,Scotland,G2 8BQ
service,,980,"95 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
unclassified,Drury Street,261,"19 West Nile Street, Glasgow, G1 2PS, Scotland",Glasgow,Scotland,G1 2PS
unclassified,Princes Street,943,"80-81 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
service,Royal Exchange Court,343,"5 Royal Exchange Square, Glasgow, G1 3AH, Scotland",Glasgow,Scotland,G1 3AH
unclassified,George Street,899,"117-119 George Street, Edinburgh, EH2 4JN, Scotland",Edinburgh,Scotland,EH2 4JN
tertiary,Victoria Road,922,"80-84 Victoria Road, Aberdeen, AB11 9DT, Scotland",Aberdeen,Scotland,AB11 9DT
unclassified,Melville Street,813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR
pedestrian,Hunter Square,232,"46 North Bridge, Edinburgh, EH1 1QN, Scotland",Edinburgh,Scotland,EH1 1QN
pedestrian,Hunter Square,231,"25 North Bridge, Edinburgh, EH1 1SB, Scotland",Edinburgh,Scotland,EH1 1SB
steps,Granny's Green Steps,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
tertiary,Port Dundas Road,935,"71 Port Dundas Road, Glasgow, G4 0HF, Scotland",Glasgow,Scotland,G4 0HF
footway,,868,"Unit 20-22, East Kilbride Shopping Centre, Olympia, Glasgow, G74 1PG, Scotland",Glasgow,Scotland,G74 1PG
unclassified,Gordon Street,104,"Unit 13, Glasgow Central Station, Gordon Street, Glasgow, G1 3SX, Scotland",Glasgow,Scotland,G1 3SX
footway,,104,"Unit 13, Glasgow Central Station, Gordon Street, Glasgow, G1 3SX, Scotland",Glasgow,Scotland,G1 3SX
unclassified,Princes Street,166,"120 Princes Street, Edinburgh, EH2 4AD, Scotland",Edinburgh,Scotland,EH2 4AD
unclassified,King's Stables Road,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
unclassified,Mastrick Road,926,"5-9 Greenfern Road, Aberdeen, AB16 5PY, Scotland",Aberdeen,Scotland,AB16 5PY
unclassified,Princes Street,895,"54-60 Princes Street, Edinburgh, EH2 2DQ, Scotland",Edinburgh,Scotland,EH2 2DQ
secondary,Rosemount Viaduct,930,"120 Rosemount Viaduct, Aberdeen, AB25 1NX, Scotland",Aberdeen,Scotland,AB25 1NX
secondary,Newhalls Road,811,"7 Newhalls Road, South Queensferry, EH30 9TA, Scotland",South Queensferry,Scotland,EH30 9TA
primary,Queensferry Street,813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR
primary,Queensferry Street,814,"26 Queensferry Street, Edinburgh, EH2 4QS, Scotland",Edinburgh,Scotland,EH2 4QS
tertiary,Berryden Road,931,"32 Ashgrove Road, Aberdeen, AB25 3AD, Scotland",Aberdeen,Scotland,AB25 3AD
secondary,Skene Street,364,"13 Rosemount Viaduct, Aberdeen, AB25 1NE, Scotland",Aberdeen,Scotland,AB25 1NE
secondary,South Mount Street,930,"120 Rosemount Viaduct, Aberdeen, AB25 1NX, Scotland",Aberdeen,Scotland,AB25 1NX
